year,imm
2004,86
2004,99
2004,99
2004,73
2004,56
2004,95
2004,97
2004,99
2004,36
2004,98
2004,58
2004,84
2004,41
2004,99
2004,98
2004,95
2004,79
2004,80
2004,95
2004,97
2004,63
2004,94
2004,70
2004,73
2004,98
2004,85
2004,96
2004,96
2004,99
2004,95
2004,79
2004,86
2004,70
2004,67
2004,73
2004,83
2004,84
2004,45
2004,37
2004,96
2004,89
2004,98
2004,63
2004,99
2004,97
2004,77
2004,91
2004,85
2004,92
2004,97
2004,95
2004,99
2004,97
2004,84
2004,25
2004,94
2004,91
2004,57
2004,89
2004,99
2004,76
2004,95
2004,99
2004,94
2004,87
2004,40
2004,62
2004,96
2004,98
2004,95
2004,99
2004,67
2004,86
2004,96
2004,82
2004,92
2004,94
2004,96
2004,55
2004,70
2004,93
2004,95
2004,95
2004,97
2004,97
2004,66
2004,99
2004,94
2004,95
2004,98
2004,55
2004,80
2004,97
2004,74
2004,85
2004,66
2005,98
2005,94
2005,98
2005,86
2005,87
2005,96
2005,68
2005,77
2005,87
2005,98
2005,99
2005,96
2005,95
2005,99
2005,97
2005,97
2005,87
2005,91
2005,82
2005,92
2005,50
2005,97
2005,83
2005,94
2005,29
2005,99
2005,94
2005,75
2005,67
2005,85
2005,99
2005,88
2005,93
2005,99
2005,88
2005,95
2005,61
2005,93
2005,89
2005,90
2005,93
2005,98
2005,96
2005,84
2005,87
2005,92
2005,79
2005,68
2005,94
2005,62
2005,27
2005,90
2005,96
2005,67
2005,61
2005,54
2005,89
2005,84
2005,96
2005,98
2005,86
2005,97
2005,95
2005,65
2005,98
2005,79
2005,93
2005,98
2005,99
2005,51
2005,95
2005,96
2005,93
2005,40
2005,90
2005,97
2005,55
2005,91
2005,90
2005,83
2005,96
2005,99
2005,93
2005,51
2005,76
2005,92
2005,58
2005,95
2005,99
2005,90
2005,94
2005,69
2005,84
2005,94
2005,84
2005,95
2005,99
2005,69
2005,85
2005,96
2005,99
2005,99
2005,41
2005,98
2005,63
2005,83
2005,62
2005,97
2005,97
2005,95
2005,74
2005,82
2005,96
2005,97
2005,73
2005,86
2005,86
2005,65
2005,98
2005,96
2005,97
2005,95
2005,97
2005,97
2005,78
2005,84
2005,73
2005,80
2005,74
2005,82
2005,96
2005,47
2005,41
2005,96
2005,90
2005,98
2005,61
2005,98
2005,99
2005,82
2005,91
2005,77
2005,92
2005,98
2005,93
2005,99
2005,97
2005,89
2005,57
2005,94
2005,88
2005,74
2005,96
2005,99
2005,71
2005,96
2005,98
2005,94
2005,87
2005,35
2005,62
2005,99
2005,99
2005,94
2005,97
2005,69
2005,91
2005,96
2005,81
2005,85
2005,91
2005,96
2005,48
2005,70
